time,x,y,z
9220,150,-25,-159
9230,146,-23,-159
9240,143,-19,-159
9250,137,-15,-159
9260,138,-12,-159
9270,134,-10,-159
9280,133,-10,-160
9290,135,-13,-161
9300,129,-13,-164
9310,127,-14,-167
9320,118,-14,-170
9330,114,-12,-172
9340,116,-10,-174
9350,118,-9,-173
9360,118,-10,-172
9370,118,-12,-171
9380,117,-14,-169
9390,114,-17,-169
9400,109,-20,-171
9410,103,-18,-174
9420,98,-15,-179
9430,98,-13,-182
9440,101,-13,-184
9450,102,-14,-183
9460,103,-15,-182
9470,102,-16,-182
9480,101,-18,-182
9490,101,-20,-182
9500,99,-20,-184
9510,95,-19,-187
9520,91,-15,-191
9530,88,-15,-194
9540,87,-18,-194
9550,88,-21,-195
9560,89,-19,-196
9570,86,-18,-194
9580,84,-18,-192
9590,81,-16,-192
9600,79,-13,-193
9610,76,-11,-194
9620,73,-10,-195
9630,71,-8,-197
9640,69,-10,-198
9650,68,-11,-198
9660,66,-8,-198
9670,63,-4,-197
9680,61,-6,-194
9690,61,-8,-191
9700,62,-5,-190
9710,62,-2,-190
9720,59,-6,-191
9730,58,-10,-195
9740,59,-12,-201
9750,62,-17,-204
9760,65,-18,-206
9770,65,-15,-206
9780,63,-15,-204
9790,60,-15,-202
9800,57,-15,-200
9810,55,-16,-199
9820,52,-15,-198
9830,49,-13,-198
9840,44,-12,-199
9850,42,-9,-202
9860,42,-8,-204
9870,42,-9,-204
9880,45,-12,-205
9890,47,-12,-206
9900,45,-10,-205
9910,42,-10,-204
9920,39,-10,-203
9930,37,-11,-202
9940,35,-9,-202
9950,33,-8,-204
9960,33,-7,-207
9970,34,-5,-209
9980,35,-6,-209
9990,35,-8,-208
10000,32,-10,-204
10010,30,-11,-203
10020,27,-13,-200
10030,25,-15,-197
10040,23,-15,-196
10050,20,-15,-195
10060,18,-12,-198
10070,18,-8,-203
10080,19,-8,-207
10090,21,-9,-211
10100,25,-10,-212
10110,27,-11,-211
10120,25,-9,-209
10130,21,-8,-209
10140,18,-6,-211
10150,18,-6,-212
10160,17,-6,-212
10170,15,-8,-212
10180,11,-9,-212
10190,7,-11,-212
10200,5,-12,-211
10210,6,-13,-210
10220,6,-15,-209
10230,6,-14,-209
10240,6,-13,-211
10250,7,-12,-209
10260,7,-11,-214
10270,10,-12,-215
10280,10,-9,-216
10290,10,-15,-216
10300,8,-10,-215
10310,7,-9,-216
10320,6,-10,-212
10330,6,-13,-205
10340,5,-11,-212
10350,3,-6,-210
10360,2,-8,-214
10370,3,-8,-213
10380,4,-7,-215
10390,4,-8,-211
10400,1,-6,-205
10410,-1,-11,-205
10420,-3,-10,-206
10430,3,-9,-208
10440,2,-12,-206
10450,5,-5,-210
10460,10,-9,-209
10470,10,-11,-212
10480,5,-6,-207
10490,5,-7,-206
10500,7,-8,-205
10510,7,-7,-206
10520,4,-7,-207
10530,8,-7,-207
10540,9,-7,-208
10550,9,-7,-208
10560,8,-7,-208
10570,8,-8,-207
10580,9,-5,-208
10590,9,-9,-208
10600,10,-12,-209
10610,10,-7,-210
10620,9,-5,-210
10630,8,-7,-210
10640,10,-2,-210
10650,5,-1,-210
10660,6,-1,-210
10670,7,-3,-209
10680,4,-4,-209
10690,11,-3,-209
10700,7,-1,-209
10710,4,-1,-208
10720,9,0,-208
10730,10,1,-209
10740,11,3,-209
10750,9,4,-209
10760,9,4,-209
10770,9,4,-210
10780,8,5,-213
10790,15,7,-214
10800,10,11,-215
10810,11,12,-215
